Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
log,commands/orchestration/log.md,orchestration,/add-to-changelog,berrydev-ai,https://github.com/berrydev-ai,MIT,https://github.com/berrydev-ai/blockdoc-python/blob/main/.claude/commands/add-to-changelog.md,Documentation & Changelogs,partial_match,low,"Adds new entries to changelog files while maintaining format consistency, properly documenting changes, and following established project standards for version tracking.",cmd-989ec43f
svelte-optimize,commands/svelte/svelte-optimize.md,svelte,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
docs-maintenance,commands/documentation/docs-maintenance.md,documentation,/docs,slunsford,https://github.com/slunsford,NOT_FOUND,https://github.com/slunsford/coffee-analytics/blob/main/.claude/commands/docs.md,Documentation & Changelogs,partial_match,low,"Generates comprehensive documentation that follows project structure, documenting APIs and usage patterns with consistent formatting for better user understanding.",cmd-4d612ab9
interactive-documentation,commands/documentation/interactive-documentation.md,documentation,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,partial_match,low,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
supabase-performance-optimizer,commands/database/supabase-performance-optimizer.md,database,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
clean-branches,commands/utilities/clean-branches.md,utilities,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
check-file,commands/utilities/check-file.md,utilities,/check,rygwdn,https://github.com/rygwdn,NOT_FOUND,https://github.com/rygwdn/slack-tools/blob/main/.claude/commands/check.md,Code Analysis & Testing,partial_match,low,"Performs comprehensive code quality and security checks, featuring static analysis integration, security vulnerability scanning, code style enforcement, and detailed reporting.",cmd-193fe5e1
refactor-code,commands/utilities/refactor-code.md,utilities,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,partial_match,low,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
branch-cleanup,commands/git-workflow/branch-cleanup.md,git-workflow,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
setup-automated-releases,commands/deployment/setup-automated-releases.md,deployment,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,partial_match,low,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
prepare-release,commands/deployment/prepare-release.md,deployment,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,partial_match,low,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
optimize-build,commands/performance/optimize-build.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-database-performance,commands/performance/optimize-database-performance.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-memory-usage,commands/performance/optimize-memory-usage.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-bundle-size,commands/performance/optimize-bundle-size.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-api-performance,commands/performance/optimize-api-performance.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
vercel-deploy-optimize,commands/nextjs-vercel/vercel-deploy-optimize.md,nextjs-vercel,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
