Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
optimize,commands/orchestration/optimize.md,orchestration,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,exact_match,high,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
log,commands/orchestration/log.md,orchestration,/add-to-changelog,berrydev-ai,https://github.com/berrydev-ai,MIT,https://github.com/berrydev-ai/blockdoc-python/blob/main/.claude/commands/add-to-changelog.md,Documentation & Changelogs,partial_match,low,"Adds new entries to changelog files while maintaining format consistency, properly documenting changes, and following established project standards for version tracking.",cmd-989ec43f
commit,commands/orchestration/commit.md,orchestration,/commit,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/commit.md,Version Control & Git,exact_match,high,"Creates git commits using conventional commit format with appropriate emojis, following project standards and creating descriptive messages that explain the purpose of changes.",cmd-b6a797df
svelte-optimize,commands/svelte/svelte-optimize.md,svelte,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
docs-maintenance,commands/documentation/docs-maintenance.md,documentation,/docs,slunsford,https://github.com/slunsford,NOT_FOUND,https://github.com/slunsford/coffee-analytics/blob/main/.claude/commands/docs.md,Documentation & Changelogs,partial_match,low,"Generates comprehensive documentation that follows project structure, documenting APIs and usage patterns with consistent formatting for better user understanding.",cmd-4d612ab9
update-docs,commands/documentation/update-docs.md,documentation,/update-docs,Consiliency,https://github.com/Consiliency,MIT,https://github.com/Consiliency/Flutter-Structurizr/blob/main/.claude/commands/update-docs.md,Documentation & Changelogs,exact_match,high,"Reviews current documentation status, updates implementation progress, reviews phase documents, and maintains documentation consistency across the project.",cmd-7767f28f
load-llms-txt,commands/documentation/load-llms-txt.md,documentation,/load-llms-txt,ethpandaops,https://github.com/ethpandaops,MIT,https://github.com/ethpandaops/xatu-data/blob/master/.claude/commands/load-llms-txt.md,Context Loading & Priming,exact_match,high,"Loads LLM configuration files to context, importing specific terminology, model configurations, and establishing baseline terminology for AI discussions.",cmd-e7fde689
interactive-documentation,commands/documentation/interactive-documentation.md,documentation,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,partial_match,low,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
supabase-performance-optimizer,commands/database/supabase-performance-optimizer.md,database,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
clean-branches,commands/utilities/clean-branches.md,utilities,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
